candidate_id,rank,score,reasoning
CAND_0041669,1,0.992000,"Recommendation Systems Engineer with 8.0 yrs at CRED; prior role as Search Engineer at Mad Street Den; shipped retrieval/ranking systems per JD mandate; strong depth in Milvus, Semantic Search, FAISS; highly responsive (77% response rate); Noida, Uttar Pradesh-based (preferred location); active GitHub contributor (score: 71)."
CAND_0046525,2,0.973875,"Senior Machine Learning Engineer with 6.1 yrs at Genpact AI; prior role as Senior Machine Learning Engineer at LinkedIn; shipped retrieval/ranking systems per JD mandate; strong depth in Machine Learning, Qdrant, Sentence Transformers; highly responsive (88% response rate); Pune, Maharashtra-based (preferred location)."
CAND_0064326,3,0.968724,"Search Engineer with 7.6 yrs at Sarvam AI; prior role as Machine Learning Engineer at Aganitha; shipped retrieval/ranking systems per JD mandate; strong depth in Deep Learning, PyTorch, Python; highly responsive (94% response rate); Gurgaon, Haryana-based (preferred location); active GitHub contributor (score: 61)."
CAND_0077337,4,0.957561,"Staff Machine Learning Engineer with 7.0 yrs at Paytm; prior role as Staff Machine Learning Engineer at Paytm; shipped retrieval/ranking systems per JD mandate; strong depth in BM25, Information Retrieval, LLMs; highly responsive (95% response rate); active GitHub contributor (score: 68)."
CAND_0018499,5,0.956065,"Senior Machine Learning Engineer with 7.2 yrs at Zomato; prior role as Senior Machine Learning Engineer at Zomato; shipped retrieval/ranking systems per JD mandate; strong depth in Deep Learning, Embeddings, Milvus; good engagement (61% response rate); Noida, Uttar Pradesh-based (preferred location); active GitHub contributor (score: 95)."
CAND_0027691,6,0.953522,"NLP Engineer with 6.5 yrs at Haptik; prior role as NLP Engineer at Haptik; shipped retrieval/ranking systems per JD mandate; strong depth in LoRA, QLoRA, Recommendation Systems; good engagement (68% response rate); Pune, Maharashtra-based (preferred location); active GitHub contributor (score: 58)."
CAND_0039383,7,0.953399,"Applied ML Engineer with 7.1 yrs at Meesho; prior role as Applied ML Engineer at Meesho; shipped retrieval/ranking systems per JD mandate; strong depth in Elasticsearch, FAISS, Hugging Face Transformers; good engagement (61% response rate); Gurgaon, Haryana-based (preferred location); active GitHub contributor (score: 86)."
CAND_0079387,8,0.947177,"AI Engineer with 6.9 yrs at Microsoft; prior role as AI Engineer at Microsoft; shipped retrieval/ranking systems per JD mandate; strong depth in LoRA, OpenSearch, Python; highly responsive (81% response rate); active GitHub contributor (score: 64)."
CAND_0068811,9,0.947167,"Applied ML Engineer with 8.0 yrs at Freshworks; prior role as Applied ML Engineer at Freshworks; shipped retrieval/ranking systems per JD mandate; strong depth in OpenSearch, Pinecone, Qdrant; Pune, Maharashtra-based (preferred location)."
CAND_0030348,10,0.941172,"Machine Learning Engineer with 4.5 yrs at BYJU'S; prior role as Machine Learning Engineer at BYJU'S; shipped retrieval/ranking systems per JD mandate; strong depth in PyTorch, Python, pgvector; good engagement (54% response rate); Noida, Uttar Pradesh-based (preferred location)."
